X: 0.3605075528908782, Y: 0.025382598225240426
X: 0.7275671813205921, Y: 0.04006969350035674
X: 1.075313296119835, Y: 0.040279433511287766
X: 1.4569344217698814, Y: 0.0419231638279264
X: 1.8528068966963995, Y: 0.04119398851039959
X: 2.263212297205351, Y: 0.04858943636032197
X: 2.862885788946695, Y: 0.049110737248375204
X: 3.462760843776779, Y: 0.0492901960380056
X: 3.891833744760924, Y: 0.16037951730085337
X: 4.227459163372184, Y: 0.48222290417785824
X: 4.575329085936752, Y: 0.9678462929439757
X: 4.71691753232489, Y: 1.3794928886654156
X: 4.565127612842326, Y: 1.7794261240564335
X: 4.321309353173513, Y: 2.1247760211114644
X: 4.072332016953566, Y: 2.4196953560230647
X: 3.792341483214461, Y: 2.624703189702135
X: 3.4188207602805387, Y: 2.7338448505552035
X: 3.0142332562040632, Y: 2.7934805340900737
X: 2.6051753002932814, Y: 2.7157605784554626
X: 2.316505466498719, Y: 2.494164686598541
X: 2.0533702128612545, Y: 2.225295136982149
X: 1.8171115306033823, Y: 1.9322488883181947
X: 1.5779611885125053, Y: 1.6080295826706195
X: 1.2881753267701208, Y: 1.3318738487931148
X: 0.9404660934071091, Y: 1.2005471902914175
X: 0.5935132307930632, Y: 1.1436107750922788
X: 0.24591936188234353, Y: 1.2705380476583898
X: -0.09519274879043718, Y: 1.568494608488789
X: -0.3389158455059564, Y: 1.8860484546916785
X: -0.5761671948093942, Y: 2.2352255663763207
X: -0.8320903250725786, Y: 2.552298913942875
X: -1.1624015980814437, Y: 2.7063710502841323
X: -1.6287748766428525, Y: 2.7870534276789662
X: -2.0372732182933047, Y: 2.737006850071713
X: -2.345984284143669, Y: 2.5459575324443393
X: -2.6468073337069775, Y: 2.2632875863285222
X: -3.041241462522387, Y: 1.828923647347577
X: -3.1458676038811912, Y: 1.462840376122309
X: -3.076127641535299, Y: 1.1023240054417542
X: -2.924269374356772, Y: 0.7445223084773719
X: -2.770984217131818, Y: 0.3928849300379078
X: -2.5455098635478297, Y: -0.0008748554975776058
X: -2.2400262107635798, Y: -0.4644964911586059
X: -1.8805146728710562, Y: -0.6637088863471946
X: -1.5074712708470928, Y: -0.7436761199228642
X: -1.1115464330830835, Y: -0.7873805211132461
X: -0.7174877159335538, Y: -0.7865205589866521
X: -0.3203801515977214, Y: -0.8017202983777602
X: 0.04154845265426112, Y: -0.8073883630393188
X: 0.43745959434592674, Y: -0.8141545476479726
X: 0.8636181249847542, Y: -0.8210376196453089
X: 1.4045234993593096, Y: -0.8137115703685682
X: 2.003871402883078, Y: -0.8093481778796995
X: 2.6036137024495156, Y: -0.8067450595704774
X: 3.2034468305101824, Y: -0.8047067803448911
X: 3.726745520091124, Y: -0.8031002917113604
X: 3.7272368764436066, Y: -0.8030452201030345
